Model,Years_Working,Production_Year,Range_km,Engine_Type,Fuel_Consumption,Capacity,Hourly_Maintenance_Cost,Region,Price_USD
Airbus A350-1000,2,2022,15861,Turbofan,5.47,419,993.68,Europe,279272152.48
Boeing 777,18,2006,16024,Turbofan,6.89,398,4913.46,Europe,159497194.51
Boeing 777,14,2010,15390,Turbofan,7.46,387,1619.02,Africa,147332431.78
Boeing 747,8,2016,13705,Turbofan,9.1,670,1623.69,Asia,245076621.31
Cessna 172,12,2012,1093,Piston,0.04,4,4009.92,Europe,220325.91
Boeing 777,28,1996,15501,Turbofan,7.12,403,1986.77,South America,91787698.13
Boeing 747,16,2008,14002,Turbofan,10.99,655,4746.48,North America,180394838.27
Cessna 172,13,2011,1286,Piston,0.04,4,3962.02,Asia,210730.58
Cessna 172,22,2002,1536,Piston,0.04,4,561.88,Oceania,104152.42
Boeing 737,0,2024,6729,Turbofan,2.62,206,3766.68,Oceania,113640217.01
Boeing 737,11,2013,6871,Turbofan,2.92,204,504.25,South America,64686323.38
Airbus A350-1000,3,2021,16054,Turbofan,5.47,410,1656.55,Africa,305855700.14
Boeing 777,1,2023,16061,Turbofan,7.08,386,4747.55,Europe,290185678.91
Boeing 777,14,2010,15238,Turbofan,6.34,395,1509.93,Africa,177677485.72
Boeing 777,1,2023,15760,Turbofan,6.54,386,3469.38,Africa,294674585.53
Airbus A350-1000,0,2024,15606,Turbofan,5.42,411,1571.11,South America,428582193.08
Cessna 172,32,1992,1290,Piston,0.04,4,1077.53,Middle East,100000.0
Airbus A380,7,2017,14916,Turbofan,11.97,855,3942.05,Oceania,325792152.96
Airbus A320,17,2007,6131,Turbofan,2.36,172,2286.17,North America,49338623.98
Boeing 747,34,1990,14223,Turbofan,9.37,660,4460.6,South America,79249215.28
Cessna 172,12,2012,1217,Piston,0.04,4,2716.0,Middle East,230941.02
Airbus A320,3,2021,6099,Turbofan,2.53,178,1504.96,Europe,85404588.7
Boeing 747,8,2016,14017,Turbofan,10.89,661,3830.32,Middle East,251141248.44
Cessna 172,12,2012,1465,Piston,0.04,4,1997.17,Europe,236251.89
Airbus A380,17,2007,15250,Turbofan,12.86,850,3009.05,North America,203173984.04
Cessna 172,27,1997,1384,Piston,0.04,4,887.72,Middle East,100000.0
Airbus A320,0,2024,5913,Turbofan,2.57,170,1984.1,North America,96094322.12
Airbus A350-1000,6,2018,16081,Turbofan,5.05,418,3409.92,South America,290761482.43
Airbus A320,12,2012,6577,Turbofan,2.26,171,4901.05,Asia,58363335.47
Boeing 737,31,1993,7019,Turbofan,2.56,211,610.35,Middle East,18846722.06
Boeing 777,21,2003,15619,Turbofan,6.85,395,549.1,Asia,102602585.15
Airbus A320,2,2022,6536,Turbofan,2.55,183,3746.34,Oceania,77914763.94
Airbus A380,14,2010,14986,Turbofan,11.9,846,557.82,South America,184409215.66
Airbus A350-1000,4,2020,16062,Turbofan,5.67,409,2983.21,Middle East,275112290.96
Boeing 777,21,2003,16179,Turbofan,6.84,399,516.48,Middle East,142950228.41
Cessna 172,1,2023,1130,Piston,0.04,4,4870.51,Asia,333410.74
Boeing 737,34,1990,6240,Turbofan,2.71,212,765.63,Europe,19995170.59
Airbus A380,14,2010,15114,Turbofan,12.58,852,2354.87,South America,218253844.01
Boeing 777,19,2005,15889,Turbofan,7.25,403,4036.85,Middle East,118302315.59
Airbus A380,16,2008,14725,Turbofan,12.02,855,1984.32,Europe,206229929.26
Airbus A320,30,1994,5866,Turbofan,2.55,184,953.68,Middle East,18439224.16
Boeing 747,15,2009,13463,Turbofan,10.42,650,4579.16,South America,220593891.77
Cessna 172,3,2021,1421,Piston,0.04,4,3570.92,Africa,304940.5
Airbus A380,6,2018,14883,Turbofan,11.0,848,2560.41,Middle East,389634545.28
Boeing 747,1,2023,13834,Turbofan,9.43,650,968.27,Asia,458902390.08
Boeing 737,0,2024,6516,Turbofan,2.88,200,1892.71,North America,96377715.75
Boeing 737,28,1996,6098,Turbofan,2.82,208,1974.45,Asia,24273214.89
Airbus A380,8,2016,15433,Turbofan,10.87,852,910.8,Europe,336525611.6
Airbus A320,8,2016,6406,Turbofan,2.66,183,1537.91,Africa,62036035.68
Boeing 737,32,1992,6088,Turbofan,2.76,210,3591.21,South America,21876194.23
Boeing 747,7,2017,14049,Turbofan,10.9,670,2873.88,South America,252413735.76
Boeing 747,24,2000,13509,Turbofan,9.38,661,793.4,North America,115265499.61
Boeing 777,30,1994,15785,Turbofan,6.9,387,1074.53,South America,73471504.37
Cessna 172,15,2009,1439,Piston,0.04,4,2496.74,Oceania,152479.49
Boeing 747,24,2000,13953,Turbofan,9.56,665,4850.82,Oceania,136736281.85
Airbus A350-1000,5,2019,15974,Turbofan,4.83,402,4473.03,Africa,307289487.38
Boeing 737,7,2017,6201,Turbofan,2.76,205,1112.39,Asia,56926783.33
Boeing 737,9,2015,6160,Turbofan,2.72,212,3777.71,Europe,61723878.37
Airbus A380,0,2024,15601,Turbofan,11.02,856,3906.16,Africa,511737453.54
Airbus A320,5,2019,5836,Turbofan,2.33,189,4501.02,North America,86907252.78
Boeing 747,33,1991,13404,Turbofan,10.71,650,3116.94,Asia,90016244.05
Boeing 737,22,2002,6883,Turbofan,2.75,205,1146.36,Asia,29885631.04
Boeing 777,6,2018,15524,Turbofan,6.84,402,2466.49,Africa,312155189.54
Boeing 777,13,2011,15414,Turbofan,7.36,395,962.98,North America,208380737.02
Boeing 777,28,1996,15961,Turbofan,7.26,402,1303.61,Africa,70463242.52
Boeing 747,13,2011,13304,Turbofan,10.94,652,2518.31,Asia,194352158.25
Cessna 172,31,1993,1618,Piston,0.04,4,3621.49,Africa,100000.0
Airbus A320,4,2020,5875,Turbofan,2.59,190,4864.14,South America,87032054.56
Airbus A380,4,2020,15444,Turbofan,11.42,845,2160.63,South America,345994467.94
Airbus A350-1000,7,2017,15875,Turbofan,5.06,403,4079.79,Oceania,239141218.76
